patentid,assignee_name_current
US5399066A,General Electric Co
US6808368B1,General Electric Co
US6141648A,General Electric Co
US6666825B2,General Electric Co
US6788508B2,General Electric Co
US4079288A,General Electric Co
US6820431B2,General Electric Co
US9017019B2,General Electric Co
US6407918B1,General Electric Co
US4827321A,General Electric Co
US5486562A,Sabic Innovative Plastics Ip Bv
US6411678B1,General Electric Co
US7787014B2,General Electric Co
US5522682A,Tco Funding Corp
US5522682A,Tensar Corp Llc
US5248240A,General Electric Co
US4604494A,General Electric Co
US5198694A,General Electric Co
US6993675B2,General Electric Co
US5243520A,General Electric Co
US4104605A,General Electric Co
US8190315B2,General Electric Co
US5180694A,General Electric Co
US4000854A,General Electric Co
US6197989B1,Agc Inc
US6197989B1,Osi Specialties Inc
